             1             1
             2            -1
             3             1
             4            -3
             5             1
             6            -5
7.04             1
7.05             1
7.07             1
7.08             1
             8            -7
             9             1
            10             1
11.05             1
11.07             1
11.08             1
12.16             1
12.17             1
12.22             1
12.23             1
12.25             1
12.26             1
            13             1
            14           -13
            15             1
            16           -15
            17             1
            18           -17
19.04             1
19.05             1
19.07             1
19.08             1
            20           -19
            21             1
            22             1
            23             1
            24             1
            25             1
            26             1
            27             1
            28             1
